,age,balance,duration,campaign,previous,marital_married,marital_single,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,education_secondary,education_tertiary,default_yes,housing_yes,loan_yes
101,53,90,124,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,52,128,229,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
103,59,179,55,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
104,27,0,400,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
105,44,54,197,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
106,47,151,190,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
107,34,61,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
108,59,30,514,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
109,45,523,849,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
110,29,31,194,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
111,46,79,144,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
112,56,-34,212,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
113,36,448,286,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
114,59,81,107,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
115,44,144,247,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
116,41,351,518,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
117,33,-67,364,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
118,59,262,178,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
119,57,0,98,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,56,56,439,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
121,51,26,79,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
122,34,3,120,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
123,43,41,127,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
124,52,7,175,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
125,33,105,262,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
126,29,818,61,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
127,34,-16,78,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
128,31,0,143,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
129,55,2476,579,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
130,55,1185,677,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
131,32,217,345,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
132,38,1685,185,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
133,55,802,100,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
134,28,0,125,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
135,23,94,193,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
136,32,0,136,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
137,43,0,73,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
138,32,517,528,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
139,46,265,541,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
140,53,947,163,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
141,34,3,301,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
142,57,42,46,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
143,37,37,204,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
144,59,57,98,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
145,33,22,71,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
146,56,8,157,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
147,48,293,243,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
148,43,3,186,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
149,54,348,579,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
150,51,-19,163,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
151,26,0,610,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
152,40,-4,2033,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
153,39,18,85,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
154,50,139,114,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
155,41,0,114,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
156,51,1883,57,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
157,60,216,238,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
158,52,782,93,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
159,48,904,128,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
160,48,1705,107,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
161,39,47,181,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
162,47,176,303,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
163,40,1225,558,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
164,45,86,270,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
165,26,82,228,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
166,52,271,99,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
167,54,1378,240,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
168,54,184,673,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
169,50,0,233,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,35,0,1056,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
171,44,1357,250,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
172,53,19,252,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
173,35,434,138,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
174,60,92,130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
175,53,1151,412,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
176,48,41,179,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
177,34,51,19,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
178,54,214,458,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
179,51,1161,717,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
180,31,37,313,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
181,35,787,683,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
182,35,59,1077,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
183,38,253,416,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
184,36,211,146,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
185,58,235,167,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
186,40,4384,315,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
187,54,4080,140,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
188,34,53,346,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
189,31,0,562,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
190,51,2127,172,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
191,33,377,217,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
192,55,73,142,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
193,42,445,67,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
194,34,243,291,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
195,33,307,309,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
196,38,155,248,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
197,50,173,98,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
198,43,400,256,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
199,61,1428,82,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200,47,219,577,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
201,48,7,286,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
202,44,575,477,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
203,35,298,611,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
204,35,0,471,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
205,50,5699,381,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
206,41,176,42,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
207,41,517,251,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
208,39,257,408,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
209,42,56,215,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
210,38,-390,287,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
211,53,330,216,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
212,59,195,366,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
213,36,301,210,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
214,54,-41,288,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
215,40,483,168,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
217,53,13,410,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
218,46,965,177,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
219,39,378,127,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
220,40,219,357,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
221,28,324,175,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
222,35,-69,300,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
223,55,0,136,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
224,43,205,1419,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
225,48,278,125,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
226,58,1065,213,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
227,33,34,27,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
228,36,1033,238,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
229,53,1467,124,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
230,47,-12,18,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
231,31,388,730,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
232,57,294,746,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
233,53,1827,121,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
234,55,627,247,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
235,45,25,40,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
236,53,315,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
237,37,0,79,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
238,44,66,206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
239,49,-9,389,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
240,46,349,127,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
241,43,100,702,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
242,38,0,151,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
243,43,434,117,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
244,49,3237,232,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
245,42,275,408,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
246,22,0,179,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
247,40,207,39,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
248,39,483,282,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
249,51,2248,714,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
250,49,428,50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
251,53,0,181,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
252,34,0,142,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
253,33,140,227,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
254,50,297,119,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
255,39,279,361,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
256,59,901,73,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
257,30,2573,67,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
258,36,143,350,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
259,40,475,332,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
260,53,70,611,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
261,34,318,113,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
262,37,275,132,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
263,42,742,58,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
264,41,236,151,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
265,30,25,89,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
266,37,600,152,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
267,39,-349,611,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
268,41,183,110,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
269,40,0,463,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
270,42,0,562,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
271,40,0,962,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
272,57,1078,10,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
273,56,155,118,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
274,37,190,92,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
275,59,319,143,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
276,39,-185,189,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
277,49,47,234,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
278,38,570,75,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
279,36,19,189,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
280,50,61,621,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
281,41,-62,55,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
282,54,258,310,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
283,58,76,156,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
284,30,0,5,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
285,33,352,225,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
286,47,368,125,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
287,50,339,2,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
288,32,1331,286,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
289,40,672,164,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
290,37,58,98,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
291,54,447,742,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
292,24,423,226,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
293,54,0,120,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
294,34,19,362,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
295,56,13,357,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
296,31,3,200,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
297,24,82,204,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
298,42,28,126,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
